order_id,customer_id,order_status,order_purchase_timestamp,Pedido em aprovação,order_approved_at,Separando o pedido,order_delivered_carrier_date,Pedido em transporte,order_delivered_customer_date,delivery_time,delivery_time_model,product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_id,seller_zip_code_prefix,seller_city,seller_state,payment_sequential,payment_type,payment_installments,payment_value,customer_unique_id,customer_zip_code_prefix,order_id.2,order_item_id,product_id.1,seller_id.1,shipping_limit_date,price,freight_value,distance_meters,duration_seconds
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,delivered,2017-12-10 11:53:48,0.01,2017-12-10 12:10:31,1.54,2017-12-12 01:07:48,6.87,2017-12-18 22:03:38,8.42,24.5,8d4f2bb7e93e6710a28f34fa83ee7d28,telefonia,200.0,27.0,5.0,20.0,7040e82f899a04d1b434b795a43b4617,01026000,sao paulo,SP,1.0,credit_card,1.0,31.75,635d9ac1680f03288e72ada3a1035803,16700000,00054e8431b9d7675808bcb819fb4a32,1,8d4f2bb7e93e6710a28f34fa83ee7d28,7040e82f899a04d1b434b795a43b4617,2017-12-14 12:10:31.000,19.9,11.85,550209,23152
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,delivered,2017-09-13 08:59:02,0.03,2017-09-13 09:45:35,6.37,2017-09-19 18:34:16,1.21,2017-09-20 23:43:48,7.61,15.63,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,650.0,28.0,9.0,14.0,48436dade18ac8b2bce089ec2a041202,27277000,volta redonda,SP,1.0,credit_card,2.0,72.19,871766c5855e863f6eccc05f988b23cb,28013000,00010242fe8c5a6d1ba2dd792cb16214,1,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,2017-09-19 09:45:35.000,58.9,13.29,,
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,delivered,2017-05-15 21:42:34,1.26,2017-05-17 03:55:27,0.3,2017-05-17 11:05:55,5.11,2017-05-22 13:44:35,6.67,21.1,ef92defde845ab8450f9d70c526ef70f,utilidades_domesticas,450.0,24.0,8.0,15.0,6426d21aca402a131fc0a5d0960a3c90,14091000,ribeirao preto,SP,1.0,boleto,1.0,34.59,85c835d128beae5b4ce8602c491bf385,38017000,00048cc3ae777c65dbb7d2a0634bc1ea,1,ef92defde845ab8450f9d70c526ef70f,6426d21aca402a131fc0a5d0960a3c90,2017-05-23 03:55:27.000,21.9,12.69,182331,8643
000e562887b1f2006d75e0be9558292e,2b01d668726fb0b751c55918c0437b7b,delivered,2018-02-22 11:54:42,0.01,2018-02-22 12:08:37,4.09,2018-02-26 14:18:32,14.19,2018-03-12 18:46:34,18.29,24.5,5ed9eaf534f6936b51d0b6c5e4d5c2e9,cool_stuff,600.0,20.0,20.0,21.0,8cbac7e12637ed9cffa18c7875207478,89254000,jaragua do sul,SC,1.0,credit_card,4.0,41.11,b2c72d1e9f6430603b8337d8f1394a99,11533000,000e562887b1f2006d75e0be9558292e,1,5ed9eaf534f6936b51d0b6c5e4d5c2e9,8cbac7e12637ed9cffa18c7875207478,2018-02-28 12:08:37.000,25.0,16.11,547541,26484
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,delivered,2018-01-14 14:33:31,0.01,2018-01-14 14:48:30,1.91,2018-01-16 12:36:48,6.03,2018-01-22 13:19:16,7.95,21.39,c777355d18b72b67abbeef9df44fd0fd,moveis,3050.0,33.0,13.0,33.0,5b51032eddd242adc84c38acab88f23d,37564000,borda da mata,MG,1.0,credit_card,5.0,216.87,3818d81c6709e39d06b2738a8d3a2474,35661000,000229ec398224ef6ca0657da4fc703e,1,c777355d18b72b67abbeef9df44fd0fd,5b51032eddd242adc84c38acab88f23d,2018-01-18 14:48:30.000,199.0,17.87,404008,18818
0009c9a17f916a706d71784483a5d643,8a250edc40ebc5c3940ebc940f16a7eb,delivered,2018-04-25 09:10:41,0.02,2018-04-25 09:33:19,2.24,2018-04-27 15:14:00,3.11,2018-04-30 17:54:25,5.36,13.62,3f27ac8e699df3d300ec4a5d8c5cf0b2,consoles_games,200.0,16.0,5.0,12.0,fcb5ace8bcc92f75707dc0f01a27d269,07032000,guarulhos,SP,1.0,credit_card,6.0,650.34,6062db572f3ef38b7a8ff4307abbfad3,13044000,0009c9a17f916a706d71784483a5d643,1,3f27ac8e699df3d300ec4a5d8c5cf0b2,fcb5ace8bcc92f75707dc0f01a27d269,2018-05-02 09:31:53.000,639.0,11.34,97117,4539
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,delivered,2018-02-13 22:10:21,1.24,2018-02-15 03:55:52,5.6,2018-02-20 18:23:28,5.81,2018-02-26 13:55:22,12.66,20.08,368c6c730842d78016ad823897a372db,construcao_ferramentas,1650.0,30.0,22.0,30.0,1f50f920176fa81dab994f9023523100,15025000,sao jose do rio preto,SP,1.0,boleto,1.0,126.54,9e4159995424971423b98c4a8bc11529,06600000,0008288aa423d2a3f00fcb17cd7d8719,2,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,2018-02-21 02:55:52.000,49.9,13.37,,
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,delivered,2018-03-19 18:40:33,1.0,2018-03-20 18:35:21,7.25,2018-03-28 00:37:42,1.74,2018-03-29 18:17:31,9.98,9.22,310ae3c140ff94b03219ad0adc3c778f,beleza_saude,2000.0,30.0,12.0,16.0,a416b6a846a11724393025641d4edd5e,03702000,sao paulo,SP,1.0,credit_card,3.0,157.6,639d23421f5517f69d0c3d6e6564cf0e,11075000,0005a1a1728c9d785b8e2b08b904576c,1,310ae3c140ff94b03219ad0adc3c778f,a416b6a846a11724393025641d4edd5e,2018-03-26 18:31:29.000,145.95,11.65,88898,5766
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,delivered,2018-02-13 22:10:21,1.24,2018-02-15 03:55:52,5.6,2018-02-20 18:23:28,5.81,2018-02-26 13:55:22,12.66,20.08,368c6c730842d78016ad823897a372db,construcao_ferramentas,1650.0,30.0,22.0,30.0,1f50f920176fa81dab994f9023523100,15025000,sao jose do rio preto,SP,1.0,boleto,1.0,126.54,9e4159995424971423b98c4a8bc11529,06600000,0008288aa423d2a3f00fcb17cd7d8719,1,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,2018-02-21 02:55:52.000,49.9,13.37,,
00061f2a7bc09da83e415a52dc8a4af1,c6fc061d86fab1e2b2eac259bac71a49,delivered,2018-03-24 22:16:10,0.01,2018-03-24 22:28:09,2.29,2018-03-27 05:26:55,1.78,2018-03-29 00:04:19,4.08,15.07,d63c1011f49d98b976c352955b1c4bea,beleza_saude,950.0,35.0,25.0,20.0,cc419e0650a3c5ba77189a1882b7556a,09015000,santo andre,SP,1.0,credit_card,3.0,68.87,107e6259485efac66428a56f10801f4f,13419000,00061f2a7bc09da83e415a52dc8a4af1,1,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,2018-03-29 22:28:09.000,59.99,8.88,177481,8908
