order_id,order_metric_cycle_time
cee3292f46ede6ea1dfabfcb200fcf47,7.4323483
50dca53ca33b739bef09e7933e8b380e,9.392364
8087ec71e393d4dc6fc48041fe63cd51,3.8224337
e6b6557ce111de79b31cc857f20ba212,11.99519
0b09c5e4c2512f627190ac55a78c35a3,16.776014
411282320ee1ea91c2fc8351aee73b05,11.21426
689d9b46b0376ea4ebaeac46ebd6fc18,8.874098
603691890e2bc99b1ae66b9e7ecbe3d4,12.404861
06fef28288938378d269904800db589f,12.167366
a6f6b75dad02327bd16a4d391963c579,12.569813
e67dfbc421e0d2908ef7e2c96d222f42,17.733917
eaa3f732b5a4f293f5063246bd5dd67e,13.689223
36b8ca63eb9822b5f68630749ff70e32,12.601385
9506bf16f764e91707db1ffebc90b494,11.731355
d071b7bd406df53883553c4eceb94936,9.000936
a74e83bef10070f30831ad61d579a408,8.9167795
3b61275de41f60d8e48bef3f42ac8bed,6.22334
6337a3d6f20dcb1f58b07244dc92b759,7.602737
c528ee5dbc3b0873c3eb1a25c860fd97,15.222449
57db58fa887c4205f3bf01211de5cceb,12.904776
7d4bbd720f893f2ce3f6e19f95c4249a,10.823183
6ca45b5a3976343d5ac388f06ab70f09,12.704931
fffcd46ef2263f404302a634eb57f7eb,16.265013
f3513eec8f1434b5b7e04ddf3598df40,5.352207
f96682f8b83bc89372ebcb2164502266,9.396289
1630676be03651738ab38bdd77ce6e67,8.474735
d21711f4bfc26162d5a8e471d7edb25f,17.840734
e8bbe1e50121557f66b60660a6b62289,11.215251
24040b0114230e6113ea96d0161ff4a9,6.3385925
9d0815da498bdbe17d13752e2d3c991f,13.991909
5d1466f38183f13f22491a21c09982a1,16.901392
efe5d91d523dcb8acc12b56d74523979,5.647794
32fef9bb0f0402350b640eb6f13dbe09,11.655556
ae6fa796d6bfcc527feea40286702f7e,13.410977
4c0b7cef000c9351cd7f160ad283a0f8,5.179102
934838488a3fc133b3cb9b1f716c5937,12.84712
dc2ed1581975f94efea014272ace65a8,13.2790785
98b3b28db55c9f6e365c56f05004d3b5,11.384364
6a7ac200511e303dca7161f95949dee8,5.4554596
e8f5f9fb65db20f08e707adec28407c9,15.404241
cf650037c918409bca8e5e67ee7dcfbe,12.700554
7a7ce47ebeac8469117cd0b044c03d1b,6.254346
a5102272df11ecf366a4e9d4257b672a,10.83986
de12067bfa331f0c8cd1df23a0106128,4.2165356
a250092009e031f3162f9134a40261c2,15.225342
fe77e2fdbb1b332cfbabd01709f805e8,9.64583
484bc55c468ac3e8d5ca1ab45b24ff99,10.30699
a653bb2e2418fd13d746e3639879aa83,15.601979
5ce97d89fd3ee848e6c60736d3e32a3b,15.194396
2a1ceca1522e8bf484583ef111e921c4,10.12911
9ec8075dfc41a4b32e00cdac5dcca698,11.996383
db6bbd5bd39d674b8778df50982d00de,7.037199
1dcf0c8cd36ffaf57784fbdc90079310,11.648631
ecb7b1b5d15cf872f986f88e7344d9ed,11.739068
10a00d04ca3504e6a7804ccc87050e81,8.14922
21ac7b9aaf4cb4e41aa7ed2722a0c2ab,17.890839
eee39147362c420a076b96cfe10c8154,10.224374
15894c1e0d37429ae01e88705a0e7941,9.669473
64eb693e04aa8e46522872834d4dbe03,15.905033
7d92cb6758010db52a51e6e283edcd6f,12.228856
23b89f00eb70f9f93ebe743fd79bd787,6.698398
337d06bdab986563a27e4f5c1885e887,11.55588
67e54a5ddb5e864b3ca5442f999b55ed,10.37124
9aba5a261ecd7b4c4d324ee1ab55cae7,5.190865
299e8d399d78b7abc915b3d059a6c712,16.121826
4fe8bf212087b2b27d2d5ca8bc866a74,4.47427
d6d5256fd785237c4ace6b84392b2e28,5.145614
201411b269cdeb9193946f3f26e2c0db,4.8379884
3eca2d6d0bebdc75df61d60892caba49,10.551753
bf9d1c19aaa57a10e2c963fa10f75b47,13.047326
dfbdae4128710f6f089dca71d4bc4844,8.479908
